longitude,latitude,date,VV,VH,angle
-112.32309733809467,40.06261588352036,2019-06-01 01:26:32,-13.75987250069356,-22.9248370101959,40.08324432373047
-112.32309733809467,40.06261588352036,2019-06-13 01:26:32,-13.552884613425322,-20.303833233666182,40.079978942871094
-112.32309733809467,40.06261588352036,2019-06-25 01:26:33,-16.92729228168171,-24.731114902195074,40.08267593383789
-112.32309733809467,40.06261588352036,2019-07-07 01:26:34,-17.26561759720228,-24.99802693009887,40.0835075378418
-112.32309733809467,40.06261588352036,2019-07-19 01:26:35,-14.022920288822313,-21.06698039946867,40.07945251464844
-112.32309733809467,40.06261588352036,2019-07-31 01:26:35,-14.200333382559812,-21.411836840812942,40.077659606933594
-112.32309733809467,40.06261588352036,2019-08-12 01:26:36,-17.59184203817263,-26.385129236437827,40.08497619628906
-112.32309733809467,40.06261588352036,2019-08-24 01:26:37,-17.23277113524011,-25.847958152791097,40.087120056152344
-112.32309733809467,40.06261588352036,2019-09-05 01:26:37,-17.172199003489517,-25.581024058379327,40.08707809448242
-112.32309733809467,40.06261588352036,2019-09-17 01:26:38,-17.72686362680554,-26.20191791848942,40.0816764831543
-112.32309733809467,40.06261588352036,2019-09-29 01:26:39,-15.37072205521328,-24.555955549764505,40.082157135009766
-112.32309733809467,40.06261588352036,2019-10-11 01:26:38,-14.165112025567748,-22.92359943944836,40.07808303833008
-112.32309733809467,40.06261588352036,2019-10-23 01:26:39,-16.670758707171508,-25.8789980800898,40.08462905883789
-112.32309733809467,40.06261588352036,2019-11-04 01:26:38,-17.519710322153063,-26.713973953012125,40.08165740966797
-112.32309733809467,40.06261588352036,2019-11-16 01:26:38,-17.041581333674035,-26.15055132968343,40.082725524902344
-112.32309733809467,40.06261588352036,2019-11-28 01:26:38,-15.526334152782358,-26.440802958183156,40.07469177246094
-112.32309733809467,40.06261588352036,2019-12-10 01:26:38,-14.765568803585529,-26.016172935576336,40.076690673828125
-112.32309733809467,40.06261588352036,2019-12-22 01:26:37,-15.818299767486119,-26.64323722489015,40.079017639160156
-112.32309733809467,40.06261588352036,2020-01-03 01:26:36,-15.710128094411363,-25.05965497914971,40.08066177368164
-112.32309733809467,40.06261588352036,2020-01-15 01:26:36,-15.938709302320893,-25.92008406457513,40.0805778503418
-112.32309733809467,40.06261588352036,2020-01-27 01:26:36,-12.84421453419565,-23.01969711231156,40.08102798461914
-112.32309733809467,40.06261588352036,2020-02-08 01:26:35,-12.203797640463566,-22.593580989169904,40.201011657714844
-112.32309733809467,40.06261588352036,2020-02-20 01:26:35,-15.854339779931086,-26.45260310622538,40.20295333862305
