,longitude,latitude,date,vv,vh,angle,site,pass_type
0,-109.24636748998532,41.28881624634351,2019-06-03,-11.661187558995854,-19.736367591562,36.23020553588867,Lower Sage,pm
1,-109.24636748998532,41.28881624634351,2019-06-15,-9.051587168958783,-16.692481742868225,36.22703170776367,Lower Sage,pm
2,-109.24636748998532,41.28881624634351,2019-06-27,-12.94262492656676,-19.83514943279768,36.23113250732422,Lower Sage,pm
3,-109.24636748998532,41.28881624634351,2019-07-09,-12.771115539074163,-19.711306747256558,36.24266052246094,Lower Sage,pm
4,-109.24636748998532,41.28881624634351,2019-07-21,-13.612138378836846,-20.09596800598491,36.23049545288086,Lower Sage,pm
5,-109.24636748998532,41.28881624634351,2019-08-02,-13.959334425862222,-21.829765855314914,36.22201919555664,Lower Sage,pm
6,-109.24636748998532,41.28881624634351,2019-08-14,-13.884340833991224,-21.629933007899727,36.2303581237793,Lower Sage,pm
7,-109.24636748998532,41.28881624634351,2019-08-26,-13.651428705367865,-21.23816638279245,36.23841094970703,Lower Sage,pm
8,-109.24636748998532,41.28881624634351,2019-09-07,-10.978038460151136,-18.60637156822085,36.24272537231445,Lower Sage,pm
9,-109.24636748998532,41.28881624634351,2019-09-19,-13.874700537171694,-21.77847801866454,36.22876739501953,Lower Sage,pm
10,-109.24636748998532,41.28881624634351,2019-10-01,-12.482420436015696,-20.85475110364896,36.23188781738281,Lower Sage,pm
11,-109.24636748998532,41.28881624634351,2019-10-13,-14.824356146143458,-23.755461668014757,36.22591400146485,Lower Sage,pm
12,-109.24636748998532,41.28881624634351,2019-10-25,-12.979540064295028,-21.38698237964365,36.22916793823242,Lower Sage,pm
13,-109.24636748998532,41.28881624634351,2019-11-06,-11.48328888275362,-20.260299546781155,36.23451232910156,Lower Sage,pm
14,-109.24636748998532,41.28881624634351,2019-11-18,-13.740624436650435,-22.47804558618704,36.24092864990234,Lower Sage,pm
15,-109.24636748998532,41.28881624634351,2019-11-30,-11.752140062450021,-19.594237126783614,36.23247146606445,Lower Sage,pm
16,-109.24636748998532,41.28881624634351,2019-12-12,-12.609259318634974,-20.796091836128046,36.2259635925293,Lower Sage,pm
17,-109.24636748998532,41.28881624634351,2019-12-24,-12.496844470624572,-20.86602700865645,36.22566604614258,Lower Sage,pm
18,-109.24636748998532,41.28881624634351,2020-01-05,-12.019420233046885,-20.526216819576746,36.23372650146485,Lower Sage,pm
19,-109.24636748998532,41.28881624634351,2020-01-17,-11.616011096852734,-20.165014043863785,36.235538482666016,Lower Sage,pm
20,-109.24636748998532,41.28881624634351,2020-01-29,-11.784726779899641,-20.410049061342825,36.23668670654297,Lower Sage,pm
21,-109.24636748998532,41.28881624634351,2020-02-10,-11.702644166041525,-20.957048843928877,36.14985656738281,Lower Sage,pm
22,-109.24636748998532,41.28881624634351,2020-02-22,-12.268107013862288,-21.62052465389051,36.149169921875,Lower Sage,pm
23,-112.3230973380947,40.06261588352036,2019-06-01,-13.75987250069356,-22.924837010195898,40.08324432373047,Vernon,pm
24,-112.3230973380947,40.06261588352036,2019-06-13,-13.552884613425322,-20.303833233666182,40.079978942871094,Vernon,pm
25,-112.3230973380947,40.06261588352036,2019-06-25,-16.927292281681712,-24.73111490219507,40.08267593383789,Vernon,pm
26,-112.3230973380947,40.06261588352036,2019-07-07,-17.26561759720228,-24.998026930098874,40.0835075378418,Vernon,pm
27,-112.3230973380947,40.06261588352036,2019-07-19,-14.022920288822313,-21.066980399468672,40.07945251464844,Vernon,pm
28,-112.3230973380947,40.06261588352036,2019-07-31,-14.200333382559812,-21.411836840812946,40.0776596069336,Vernon,pm
29,-112.3230973380947,40.06261588352036,2019-08-12,-17.591842038172633,-26.385129236437827,40.08497619628906,Vernon,pm
30,-112.3230973380947,40.06261588352036,2019-08-24,-17.23277113524011,-25.847958152791094,40.08712005615234,Vernon,pm
31,-112.3230973380947,40.06261588352036,2019-09-05,-17.172199003489517,-25.581024058379327,40.08707809448242,Vernon,pm
32,-112.3230973380947,40.06261588352036,2019-09-17,-17.72686362680554,-26.20191791848942,40.0816764831543,Vernon,pm
33,-112.3230973380947,40.06261588352036,2019-09-29,-15.37072205521328,-24.555955549764505,40.08215713500977,Vernon,pm
34,-112.3230973380947,40.06261588352036,2019-10-11,-14.16511202556775,-22.92359943944836,40.07808303833008,Vernon,pm
35,-112.3230973380947,40.06261588352036,2019-10-23,-16.670758707171508,-25.878998080089804,40.08462905883789,Vernon,pm
36,-112.3230973380947,40.06261588352036,2019-11-04,-17.519710322153067,-26.713973953012122,40.08165740966797,Vernon,pm
37,-112.3230973380947,40.06261588352036,2019-11-16,-17.041581333674035,-26.150551329683427,40.08272552490234,Vernon,pm
38,-112.3230973380947,40.06261588352036,2019-11-28,-15.526334152782356,-26.44080295818316,40.07469177246094,Vernon,pm
39,-112.3230973380947,40.06261588352036,2019-12-10,-14.765568803585527,-26.016172935576336,40.07669067382813,Vernon,pm
40,-112.3230973380947,40.06261588352036,2019-12-22,-15.818299767486119,-26.643237224890147,40.079017639160156,Vernon,pm
41,-112.3230973380947,40.06261588352036,2020-01-03,-15.710128094411367,-25.05965497914971,40.08066177368164,Vernon,pm
42,-112.3230973380947,40.06261588352036,2020-01-15,-15.938709302320893,-25.92008406457513,40.0805778503418,Vernon,pm
43,-112.3230973380947,40.06261588352036,2020-01-27,-12.84421453419565,-23.019697112311558,40.08102798461914,Vernon,pm
44,-112.3230973380947,40.06261588352036,2020-02-08,-12.203797640463565,-22.593580989169908,40.20101165771485,Vernon,pm
45,-112.3230973380947,40.06261588352036,2020-02-20,-15.854339779931085,-26.452603106225382,40.20295333862305,Vernon,pm
